date,level,AQI,AQIarrange,PM25,PM10,So2,No2,Co,O3
2021-01-01,良,66,270,34,81,25,35,0.83,35
2021-01-02,良,74,199,46,102,41,35,1.58,31
2021-01-03,良,69,164,45,87,59,42,1.46,20
2021-01-04,优,37,36,20,38,22,19,0.77,48
2021-01-05,优,45,110,21,48,26,23,0.76,39
2021-01-06,优,50,90,12,56,11,9,0.44,56
2021-01-07,优,44,109,15,46,19,17,0.65,50
2021-01-08,优,32,54,12,32,15,13,0.50,55
2021-01-09,优,50,166,27,59,28,27,0.95,35
2021-01-10,优,48,94,27,52,38,31,0.94,34
2021-01-11,良,85,296,32,125,23,21,0.64,40
2021-01-12,严重污染,262,352,76,379,17,20,0.50,51
2021-01-13,严重污染,423,355,271,1086,28,33,0.85,31
2021-01-14,严重污染,422,361,233,839,52,41,1.25,23
2021-01-15,中度污染,170,347,70,273,13,12,0.54,58
2021-01-16,良,55,102,28,60,27,19,0.72,49
2021-01-17,良,67,156,21,86,18,15,0.59,55
2021-01-18,良,82,269,40,115,38,31,1.14,42
2021-01-19,轻度污染,105,325,74,152,42,52,1.80,19
2021-01-20,轻度污染,141,338,106,206,75,68,2.33,11
2021-01-21,轻度污染,109,220,73,167,73,50,1.93,23
2021-01-22,轻度污染,111,223,81,161,69,50,1.88,21
2021-01-23,轻度污染,135,272,102,184,69,56,2.31,18
2021-01-24,中度污染,184,316,140,224,86,66,2.68,15
2021-01-25,中度污染,156,300,117,197,67,51,1.95,26
2021-01-26,良,80,195,34,109,32,27,0.79,45
2021-01-27,轻度污染,135,297,42,197,31,25,0.75,45
2021-01-28,良,65,167,16,80,12,11,0.39,61
2021-01-29,良,58,137,24,70,23,22,0.63,43
2021-01-30,良,54,98,22,61,23,21,0.52,50
2021-01-31,轻度污染,109,307,35,154,24,22,0.63,52
2021-02-01,良,61,143,18,82,12,7,0.46,63
2021-02-02,优,47,86,20,49,27,21,0.70,43
2021-02-03,良,54,115,31,64,35,28,0.92,41
2021-02-04,良,61,130,33,70,41,30,0.93,41
2021-02-05,良,84,254,33,118,19,18,0.52,62
2021-02-06,良,90,285,42,130,27,19,0.74,57
2021-02-07,优,32,34,18,30,19,14,0.74,57
2021-02-08,良,73,286,52,82,57,36,1.43,31
2021-02-09,良,95,311,70,115,69,36,1.69,36
2021-02-10,良,78,224,56,90,62,33,1.45,52
2021-02-11,良,98,255,72,113,59,33,1.50,57
2021-02-12,中度污染,180,322,143,208,77,38,1.74,50
2021-02-13,良,91,289,67,106,62,30,1.53,45
2021-02-14,良,58,225,30,61,28,15,0.90,54
2021-02-15,优,43,163,12,49,16,8,0.48,67
2021-02-16,优,33,67,8,33,9,5,0.39,71
2021-02-17,优,30,76,16,28,23,15,0.74,56
2021-02-18,良,57,268,35,65,49,28,1.15,40
2021-02-19,良,57,209,27,63,31,21,0.65,56
2021-02-20,良,89,325,39,128,23,20,0.53,54
2021-02-21,轻度污染,117,344,51,184,20,16,0.53,54
2021-02-22,优,38,50,19,40,16,12,0.59,59
2021-02-23,良,65,246,43,73,26,25,0.89,49
2021-02-24,轻度污染,124,361,94,142,28,40,1.24,41
2021-02-25,轻度污染,117,359,88,130,44,40,1.34,48
2021-02-26,良,73,237,50,90,45,29,1.08,61
2021-02-27,良,73,230,44,89,18,21,0.73,80
2021-02-28,优,50,208,35,49,12,17,0.76,64
2021-04-01,良,85,315,47,120,16,21,0.62,97
2021-04-02,优,46,213,25,49,20,16,0.58,66
2021-04-03,优,25,41,6,16,9,9,0.39,74
2021-04-04,优,38,136,16,35,18,21,0.60,62
2021-04-05,良,59,276,35,66,20,30,0.73,60
2021-04-06,良,54,182,36,52,14,22,0.78,68
2021-04-07,优,44,127,21,43,19,24,1.00,56
2021-04-08,良,60,256,28,72,22,32,0.74,53
2021-04-09,良,65,271,40,79,21,30,0.80,77
2021-04-10,良,77,311,56,91,16,29,0.78,92
2021-04-11,良,86,351,64,99,16,31,0.84,92
2021-04-12,优,48,191,28,51,12,21,0.58,64
2021-04-13,优,28,62,9,23,10,14,0.48,68
2021-04-14,良,60,287,20,71,20,23,0.51,63
2021-04-15,严重污染,281,355,91,509,15,21,0.45,65
2021-04-16,重度污染,237,323,55,310,8,9,0.44,67
2021-04-17,优,35,59,13,35,10,13,0.53,71
2021-04-18,良,55,141,24,61,26,29,0.81,65
2021-04-19,良,73,272,33,96,26,37,0.94,75
2021-04-20,良,75,302,36,100,16,27,0.67,112
2021-04-21,优,48,167,19,50,9,15,0.50,103
2021-04-22,优,44,133,23,45,13,20,0.60,94
2021-04-23,良,52,208,24,55,12,20,0.68,91
2021-04-24,优,49,234,21,50,10,17,0.53,94
2021-04-25,优,39,163,19,39,13,17,0.54,87
2021-04-26,轻度污染,102,343,38,157,11,16,0.43,71
2021-04-27,轻度污染,124,345,48,198,9,11,0.36,80
2021-04-28,优,46,128,13,51,10,12,0.38,80
2021-04-29,优,39,91,11,36,7,9,0.36,88
2021-04-30,优,26,6,9,19,9,12,0.42,76
2021-05-01,优,30,17,10,26,11,14,0.44,71
2021-05-02,优,44,125,16,48,15,17,0.50,82
2021-05-03,良,85,332,41,120,18,19,0.61,86
2021-05-04,良,67,263,16,84,10,9,0.44,80
2021-05-05,良,55,150,16,62,14,19,0.50,74
2021-05-06,严重污染,265,351,100,464,10,11,0.38,83
2021-05-07,轻度污染,141,253,56,192,8,8,0.40,80
2021-05-08,良,57,182,22,68,11,12,0.48,80
2021-05-09,良,59,234,24,68,14,21,0.64,86
2021-05-10,优,44,170,18,40,13,17,0.58,93
2021-05-11,良,67,330,30,84,18,21,0.59,112
2021-05-12,良,53,254,20,58,12,12,0.53,98
2021-05-13,良,73,328,43,89,13,19,0.83,130
2021-05-14,良,62,312,39,71,13,18,0.83,127
2021-05-15,优,23,39,7,13,8,9,0.46,73
2021-05-16,优,26,144,6,15,11,14,0.48,76
2021-05-17,优,44,288,15,43,21,29,0.70,64
2021-05-18,优,49,226,17,48,18,29,0.63,81
2021-05-19,良,58,266,26,66,25,32,0.69,82
2021-05-20,优,44,214,25,44,18,23,0.60,95
2021-05-21,良,55,248,25,61,19,30,0.57,88
2021-05-22,良,61,252,28,71,20,26,0.58,94
2021-05-23,重度污染,222,363,87,349,9,10,0.37,73
2021-05-24,良,64,250,18,78,13,15,0.41,59
2021-05-25,良,69,271,24,88,16,19,0.38,77
2021-05-26,优,38,149,12,37,9,11,0.40,80
2021-05-27,良,54,255,14,61,13,17,0.45,65
2021-05-28,优,33,125,10,28,11,11,0.45,82
2021-05-29,良,54,257,19,61,13,15,0.56,93
2021-05-30,优,34,120,13,26,11,12,0.59,100
2021-05-31,良,54,224,24,58,11,16,0.63,99
2021-06-01,良,51,235,19,59,13,15,0.60,79
2021-06-02,良,59,279,23,73,11,11,0.48,81
2021-06-03,优,28,77,8,22,8,7,0.38,74
2021-06-04,优,34,142,9,31,13,13,0.36,80
2021-06-05,优,37,117,11,35,19,19,0.50,66
2021-06-06,良,60,216,23,71,21,25,0.73,71
2021-06-07,良,55,185,29,64,15,20,0.57,100
2021-06-08,优,49,205,23,52,13,23,0.58,68
2021-06-09,优,47,228,21,52,17,25,0.86,51
2021-06-10,优,39,210,18,38,16,22,0.65,77
2021-06-11,良,54,260,21,59,26,32,0.74,74
2021-06-12,良,61,284,31,71,21,32,0.74,94
2021-06-13,良,54,296,31,58,15,29,0.83,96
2021-06-14,优,35,240,18,30,14,24,0.70,81
