date,level,AQI,AQIarrange,PM25,PM10,So2,No2,Co,O3
2021-01-01,优,49,124,26,55,31,29,0.66,40
2021-01-02,良,69,173,45,84,43,53,1.15,28
2021-01-03,良,97,263,72,124,26,71,1.63,10
2021-01-04,良,92,241,68,120,33,67,1.66,13
2021-01-05,良,54,165,31,64,15,35,0.85,34
2021-01-06,良,65,163,21,81,9,19,0.50,52
2021-01-07,优,50,142,18,53,12,17,0.54,52
2021-01-08,优,44,126,17,45,10,18,0.56,54
2021-01-09,优,45,116,21,47,22,27,0.66,44
2021-01-10,优,41,52,23,42,21,31,0.70,43
2021-01-11,良,83,291,30,120,8,14,0.55,57
2021-01-12,重度污染,206,344,61,311,22,27,0.71,50
2021-01-13,严重污染,428,357,189,838,20,23,0.69,50
2021-01-14,严重污染,367,357,147,565,46,50,1.36,23
2021-01-15,轻度污染,130,284,48,207,9,22,0.50,58
2021-01-16,良,94,224,44,138,18,36,0.70,38
2021-01-17,良,70,179,21,90,16,19,0.55,56
2021-01-18,良,72,188,32,97,31,31,0.69,50
2021-01-19,良,81,231,59,93,12,34,0.98,30
2021-01-20,轻度污染,107,277,80,124,29,50,1.25,35
2021-01-21,轻度污染,145,287,110,170,59,65,1.61,34
2021-01-22,轻度污染,133,266,101,153,45,64,1.69,32
2021-01-23,中度污染,179,320,138,190,23,68,1.83,25
2021-01-24,重度污染,245,347,195,242,25,72,2.18,25
2021-01-25,中度污染,190,320,146,172,28,56,1.63,28
2021-01-26,良,69,157,41,88,27,46,0.83,40
2021-01-27,轻度污染,131,294,53,191,33,48,0.95,41
2021-01-28,良,95,241,31,139,6,18,0.45,63
2021-01-29,良,58,134,28,68,27,29,0.63,55
2021-01-30,良,51,83,24,56,20,32,0.63,52
2021-01-31,良,54,88,29,59,40,38,0.75,49
2021-02-01,良,83,237,33,116,11,24,0.53,60
2021-02-02,良,51,121,21,56,21,36,0.70,41
2021-02-03,良,61,150,32,73,37,40,0.90,40
2021-02-04,良,53,85,29,60,33,44,0.78,39
2021-02-05,良,62,140,34,74,33,35,0.71,57
2021-02-06,良,70,205,35,91,24,36,0.64,56
2021-02-07,良,75,239,45,101,17,39,0.82,47
2021-02-08,良,66,263,46,80,17,47,1.00,37
2021-02-09,良,94,308,70,105,31,52,1.38,52
2021-02-10,轻度污染,113,312,85,117,40,58,1.49,60
2021-02-11,轻度污染,111,283,83,111,38,52,1.35,76
2021-02-12,轻度污染,149,293,112,138,54,45,1.48,84
2021-02-13,中度污染,196,358,147,180,50,65,1.91,59
2021-02-14,中度污染,161,357,119,146,28,42,1.58,47
2021-02-15,优,49,199,23,49,11,22,0.54,68
2021-02-16,优,47,173,20,50,17,25,0.54,64
